company_id,company_name,sector,annual_revenue,ebitda,total_debt,total_equity,current_assets,current_liabilities,interest_expense,cash_flow,employee_count,credit_score,fraud_flag,hidden_liability,bankruptcy_risk
CMP0001,Ingram-Benitez,Energy,37229090,6899617.68,37798427.39,24513774.06,11606628.81,10637290.84,3688095.09,5264322.68,1168,573,1,0,Medium
CMP0002,"Smith, White and King",Retail,82597683,15967868.86,93322244.54,5900746.8,23941339.31,19411478.02,7192539.67,-102730.63,4671,327,1,1,High
CMP0003,Ross-Clark,Technology,70548399,8041074.97,44167734.0,39370088.82,32819537.15,25619633.95,4134591.04,5397861.01,3798,834,1,1,Low
CMP0004,Rogers Ltd,Manufacturing,80251921,15256672.37,68663543.51,39813065.48,18639474.09,12895372.82,2579496.93,7630135.81,1444,570,0,0,Medium
CMP0005,Ingram and Sons,Energy,28725927,7636718.97,8664829.41,22446309.26,10297485.13,2928168.01,820462.32,-466263.84,7115,802,1,1,Low
CMP0006,Gonzalez Inc,Retail,25683963,6392599.63,15256158.57,9306781.51,2626221.89,6127615.3,1542769.91,3165007.55,4870,651,1,1,Medium
CMP0007,Fields Inc,Healthcare,57721771,8258058.58,57413058.75,27202817.67,25412944.34,3166144.53,6672766.3,9046119.94,4897,628,1,1,Medium
CMP0008,"Murray, Anderson and Mack",Retail,29231497,5147903.56,11562543.03,11814787.02,6716331.35,6619167.82,984007.89,2670329.41,2312,823,1,1,Low
CMP0009,Hall-Johnston,Technology,71171518,16502516.44,32269402.44,42583911.9,29612885.4,23089423.97,1140596.27,12628947.27,56,763,0,0,Low
CMP0010,Cooper Inc,Finance,48809174,16193021.47,20763634.63,31160075.27,14511995.82,12733660.09,596637.68,7767706.43,6196,807,1,0,Low
CMP0011,"Torres, Garcia and Brown",Healthcare,83006308,6798383.83,48916394.02,24310637.85,36537117.73,11341026.26,4292960.97,14991091.67,2201,626,1,1,Medium
CMP0012,Allen-Quinn,Healthcare,18670724,1505830.1,9166082.04,12522842.01,2384491.95,6077770.03,203686.36,2626838.85,3226,767,0,0,Low
CMP0013,"Anderson, Hale and Ward",Finance,77076042,21408080.81,47135213.65,29930157.55,32880999.25,19788604.72,4058076.58,5218903.16,6489,665,1,0,Medium
CMP0014,"Jensen, Frazier and Clayton",Retail,40796829,8529421.22,46382652.05,8389082.36,14007615.87,11527218.61,3038357.29,8721063.26,1928,440,1,0,High
CMP0015,Johns PLC,Finance,7328940,1488273.12,5470499.76,3146957.78,2264038.15,386221.63,311428.87,138418.96,3631,585,0,0,Medium
CMP0016,Ramirez-Rogers,Retail,15433829,1871750.13,8425171.61,12025044.65,1852557.17,5580398.88,966241.05,3087971.07,1640,773,0,0,Low
CMP0017,Hayes Group,Energy,97490682,21736431.49,13736894.61,70471263.03,33953088.71,25219659.22,456641.43,287818.78,8774,751,1,0,Low
CMP0018,Barber-Haynes,Energy,62452657,13125113.79,68899395.98,3236547.54,16325916.82,24640192.39,3596014.31,618575.46,7711,497,1,0,High
CMP0019,"Martin, Rice and Scott",Retail,58378046,20337764.89,49051499.8,43788503.1,11227425.61,16213194.07,1491283.99,10222578.54,6698,821,0,1,Low
CMP0020,Petersen-Hendricks,Healthcare,38766214,8266785.4,32362000.52,18070918.1,11468019.09,8530024.87,2686079.95,-1777583.23,1218,591,1,0,Medium
CMP0021,Bradley-Sandoval,Finance,91935807,14588719.98,88295131.84,40168139.89,30796818.56,34473438.74,3347845.44,13635555.91,8338,590,0,0,Medium
CMP0022,Horn-Henson,Technology,36870600,12405061.97,42965841.33,3167456.95,15598274.08,7516825.25,1497972.49,-807820.55,1519,495,0,0,High
CMP0023,Johnson Ltd,Retail,89193718,11019112.57,19061016.13,40876077.09,29580244.59,5018757.07,2219225.74,12596626.83,1199,829,1,0,Low
CMP0024,Aguilar-Juarez,Finance,61017300,19284661.78,24463363.18,20498620.62,26487758.06,8809874.26,1713207.71,2375124.58,1156,809,1,1,Low
CMP0025,"Jackson, Wise and Conrad",Finance,68623678,7216374.32,52601770.1,8353267.31,30103979.58,16373515.22,2272999.35,-614102.15,6426,441,1,1,High
CMP0026,"Jackson, Juarez and Phillips",Technology,7840093,2706503.21,4195293.0,1654988.21,2191099.42,2882544.41,272660.26,815167.41,8349,597,0,0,Medium
CMP0027,Mosley PLC,Finance,98347718,30634110.58,63266096.07,78331041.84,42587917.78,9928955.17,6901187.84,18779149.84,6487,814,0,0,Low
CMP0028,"Carter, Mendoza and Boyd",Energy,73476845,22932345.76,87834179.43,12278838.75,11153507.31,20224641.47,4032075.01,17025969.02,3080,465,0,0,High
CMP0029,Gonzalez-Walters,Healthcare,15979490,975209.18,8446981.37,10557316.89,5700741.43,3848072.47,690012.53,2008181.77,3018,747,0,1,Low
CMP0030,"Hall, Martin and Dalton",Energy,54814914,9812632.19,17545173.28,39369729.26,24324045.12,11769239.44,1158902.79,8791053.66,1381,794,0,1,Low
CMP0031,Sanders-Kelley,Finance,30691547,2341749.79,5124112.83,13070597.6,4061666.43,3936120.73,351156.82,2778541.84,7136,762,0,0,Low
CMP0032,Alexander Group,Healthcare,63144604,20135832.46,25317306.19,11374898.31,19972907.35,8373459.53,1924528.07,5241638.05,2751,649,0,0,Medium
CMP0033,Rodriguez Inc,Technology,4002263,1178743.55,2168829.84,2612545.18,1515576.93,1378066.94,115039.29,491616.22,1624,829,1,1,Low
CMP0034,Chen Ltd,Energy,77765321,10342199.96,57378013.94,56829022.06,9081051.87,8224741.42,3231963.17,8034942.16,6173,798,1,1,Low
CMP0035,"Baker, Terrell and Jones",Retail,79673382,7845684.45,23479739.19,48724626.97,9314665.65,5937149.11,1894499.72,3400789.05,2984,742,0,0,Low
CMP0036,Brown-Sharp,Retail,93362419,14050528.42,28318244.34,69461823.99,44368038.83,15263045.95,1710757.71,2479887.19,7193,705,1,1,Low
CMP0037,Green LLC,Finance,52220278,14645179.56,13451889.48,17905440.18,13318396.48,2757778.4,930198.09,8414194.16,7395,807,1,1,Low
CMP0038,Warren-Newton,Manufacturing,17325723,3990488.41,4974667.62,2748317.2,4842540.91,6793616.22,193316.96,777462.88,5356,573,1,0,Medium
CMP0039,"Long, Coleman and Thomas",Retail,90172154,9059705.5,71295622.62,23453668.6,39956107.78,33321222.98,7627460.63,13626734.19,1246,490,1,1,High
CMP0040,Rodriguez Group,Finance,77613367,21126016.5,70367847.7,53111630.61,32238284.62,17927251.32,6365825.54,437406.0,5071,742,0,1,Low
CMP0041,"Vance, Moore and Long",Energy,70469605,14406402.87,41258441.69,34283196.79,15698721.21,15333917.77,2965936.92,-2527857.08,1287,738,1,1,Low
